"Road vehicle fleet at 31 December by vehicle category and age group"

"Age Group","Type of Vehicle","Country","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All ages","Passenger cars","Turkiye",2619852,2861640,3058511,3274156,3570105,3838288,4072326,4422180,4534800,4600140,4700000,5400000,5773000,6141000,6472000,6797000,7093960,7544871,8113100,8648880,9283923,9857915,10589337,11317998,12035978,12398190,12503049,13099041,
"All ages","Passenger cars","Turkmenistan",214100,,,226800,,,,,,,,,,,,403970,,,,,,,,,,,,,
"All ages","Passenger cars","Ukraine",4235700,4384100,4603100,4872272,5024011,5127323,,,,,,,5538972,,,6393903,6699057,6769291,6900541,,,,,,,,,,
"All ages","Passenger cars","United Kingdom",21288000,21740000,21951000,22819000,23450000,23922000,24628000,25067000,25783000,26460000,26953000,27765100,28285000,27830000,28228000,28390000,28247000,28421000,28467000,28722000,,,30250294,30850440,31200182,31517597,,,31878624
"All ages","Passenger cars","United States",167771881,190787000,194125000,198862000,199973000,203168743,207788420,212706399,221821103,220931982,222701430,228275978,231905000,137742000,138353000,139501000,193979654,190202782,125656528,111289906,113676345,113898845,112864228,112961266,111177029,111242132,,105135300,
"All ages","Passenger cars","Uzbekistan",861000,971800,,,,,,,,,,,,,,,,,,,1712854,1818713,1974182,2057331,2133507,2272185,2410421,2767126,3051734
"All ages","Motor coaches, buses and trolleybuses","Albania",7582,8149,6651,7612,8747,9227,10316,16806,20813,21026,21693,25066,29453,,,,,,,,,,,7050,6583,7146,7535,7627,7867
"All ages","Motor coaches, buses and trolleybuses","Andorra",,,159,161,164,168,180,180,185,189,193,202,,,,,,,,,,,,,,,,,
"All ages","Motor coaches, buses and trolleybuses","Armenia",8532,8255,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","Motor coaches, buses and trolleybuses","Austria",9483,9598,9752,9740,9718,9675,9834,9918,9902,9179,9231,9408,9301,9297,9299,9368,9599,9648,9602,9546,9579,9585,9679,9825,9956,10037,10148,10064,10136
"All ages","Motor coaches, buses and trolleybuses","Azerbaijan",13327,12827,12768,12925,12053,13666,14941,16756,17275,17422,18781,20991,26735,27474,28092,29340,29985,29569,29189,29647,30334,30943,31057,,30788,30704,30783,,
"All ages","Motor coaches, buses and trolleybuses","Belarus",35000,35100,36000,36800,,,,,,,,,7784,,,47088,46088,46429,44853,46624,46501,48778,48461,45212,44971,45139,45163,,42982
"All ages","Motor coaches, buses and trolleybuses","Belgium",14794,14880,14667,14660,14667,14588,14673,14722,14676,14769,15060,15328,15391,15329,15479,15992,16061,16226,16100,16031,15822,15976,16094,16040,16062,16125,16542,16422,16628
"All ages","Motor coaches, buses and trolleybuses","Bosnia and Herzegovina",,1058,650,1047,,,,,,,,,3378,,,2663,,4112,3992,4005,3711,4130,4200,,4394,5212,4458,3615,3944
"All ages","Motor coaches, buses and trolleybuses","Bulgaria",,41432,41839,41642,41202,42264,42721,43005,43566,43860,44348,36630,37776,22755,23883,25249,25091,24457,23651,23289,23259,23603,24010,23365,21018,20818,20687,19450,17731
