"Road vehicle fleet at 31 December by vehicle category and age group"

"Age Group","Type of Vehicle","Country","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"> 2 and = < 5 years","Road tractors","Turkmenistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 2 and = < 5 years","Road tractors","Ukraine",,,,,,,,1984,,,,,6031,,,8866,,8676,,,,,,,,,,,
"> 2 and = < 5 years","Road tractors","United Kingdom",,,,,,70146,68757,61989,55691,49345,44294,39586,51012,29850,44017,43977,42011,43670,36627,,,,48629,46640,51072,49140,,,56967
"> 2 and = < 5 years","Road tractors","United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 2 and = < 5 years","Road tractors","Uzbekistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Passenger cars","Albania",18000,20000,,,,,,,,,,,,,,,,,,,,,,,39565,37516,38138,31466,34560
"> 5 and = < 10 years","Passenger cars","Andorra",,,,,,,,,,,,,,,,,,,,,7164,,,,,,,,
"> 5 and = < 10 years","Passenger cars","Armenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Passenger cars","Austria",,1175000,1219950,1248591,1315000,1329000,1323000,1323000,1340000,1296000,1302000,1330000,1349000,1309000,1296000,1302000,1321000,1330000,1330000,1347000,1373550,1381064,1392629,1400031,1432456,1453981,1458825,1452497,1458560
"> 5 and = < 10 years","Passenger cars","Azerbaijan",,,,,,,,94980,,,,,136084,148466,173887,197200,,208900,144000,174591,207974,231719,212800,,213830,202099,223890,,
"> 5 and = < 10 years","Passenger cars","Belarus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Passenger cars","Belgium",1510000,1581000,1664000,1664000,1684000,1633000,1579000,1494000,1463000,1420000,1481000,1543000,1843000,1517000,1518000,1506000,1476000,1461000,1458000,1511000,1567008,1631890,1635039,1759176,1734632,1677609,1645847,1627806,1628766
"> 5 and = < 10 years","Passenger cars","Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,133601,130804,126797,120530,136484,123484,,231475,91902,96616,100555,101012
"> 5 and = < 10 years","Passenger cars","Bulgaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Passenger cars","Canada",,,,,,,,8244,7844,8240314,7894660,7788000,4656862,,,5042142,,,,,,,,,,,,,
"> 5 and = < 10 years","Passenger cars","Croatia",,,280000,339000,409000,389000,345000,295000,263000,214000,257000,304000,349000,397000,404000,389000,389000,394000,391000,393000,406000,427000,400159,383128,365071,338354,309730,331283,349237
"> 5 and = < 10 years","Passenger cars","Cyprus",,55000,61000,65000,77000,86000,95000,106000,114000,112000,113000,115000,111000,107000,111000,120000,132000,141000,153000,166000,172746,160430,146915,138518,124581,114421,117417,117506,120911
"> 5 and = < 10 years","Passenger cars","Czechia",708335,756166,773130,706010,719810,727460,721000,687800,749300,808500,881230,1006000,1091000,1108000,1074000,1078000,1027000,997000,986000,1045000,1018815,1006001,1027681,1032534,1042892,1028941,994353,975381,991166
"> 5 and = < 10 years","Passenger cars","Denmark",769220,742524,571000,503000,429000,395000,390000,445000,496000,546000,708474,786275,797810,778000,726000,677000,,,,,625025,666021,640158,664381,675926,711269,780116,835015,883206
"> 5 and = < 10 years","Passenger cars","Estonia",,,,,,83600,74300,65600,58300,53400,68900,76000,71600,87900,98000,102600,104100,107850,118000,137600,149370,142773,135008,127031,112930,105264,117711,125709,129682
"> 5 and = < 10 years","Passenger cars","Finland",,,,,630000,522000,421000,368000,372000,409000,494000,571000,638000,660000,675000,680000,701000,721000,762000,776000,772000,718223,680196,660655,642059,606806,628937,635012,638706
"> 5 and = < 10 years","Passenger cars","France",,8906000,9373000,9538000,9754000,9665000,9224000,8933000,9173000,8915000,9171000,9352000,9561000,9744000,10158000,,,11031000,10873000,10924000,11172000,11320000,11416000,10454803,10548666,10241171,9981436,9578676,9289104
"> 5 and = < 10 years","Passenger cars","Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Passenger cars","Germany",,13045000,13797000,14820000,15418000,15377000,15499000,15219000,14694000,14431000,14885626,15302000,15214000,14821000,13362000,12843000,12491000,12593000,12843000,12874000,12925000,13681000,13470000,13297659,13275782,13122304,12303603,12510485,12726126
"> 5 and = < 10 years","Passenger cars","Greece",,454000,478000,559000,692000,773000,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Passenger cars","Hungary",,,706000,615000,533541,484269,450000,369000,405700,454100,505000,516000,549000,615000,673000,865000,948410,1002050,1024330,1015060,1027805,970925,815515,686154,585118,499936,441683,473958,509349
"> 5 and = < 10 years","Passenger cars","Iceland",43130,52110,,,52000,44000,36000,35000,36000,32000,35000,34000,67000,,,,,,,,,,,,,,,,35073
"> 5 and = < 10 years","Passenger cars","Ireland",320000,358198,394200,412600,433700,428600,416900,394000,404000,463000,567000,589000,,749000,773000,694120,689920,674490,670750,723940,795890,835440,766670,701000,564140,508000,559290,605770,678530
"> 5 and = < 10 years","Passenger cars","Israel",,,,,,,,,,,,,,,,,,,,,,,,,,951277,878278,938451,
"> 5 and = < 10 years","Passenger cars","Italy",,,,,,,,9278000,8782000,8176000,7727000,7419000,7599000,8171000,8575000,13749000,14058000,14051000,8601000,8651000,8868000,8734924,8664689,8301230,7566103,6838538,6017841,5492423,5405757
"> 5 and = < 10 years","Passenger cars","Kazakhstan",,,,,,,,,17389,17767,17379,,,,,,,,252300,264400,,,,,,,240156,,
"> 5 and = < 10 years","Passenger cars","Kyrgyzstan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Passenger cars","Latvia",,,,74401,68204,59731,53000,52700,46900,44900,50200,59500,74400,97220,120460,118780,104000,97030,105710,126290,138190,135161,126886,112227,92024,81848,88242,93005,95313
"> 5 and = < 10 years","Passenger cars","Liechtenstein",,,,,,,,7000,7000,7000,7330,7710,8275,8360,8476,8860,8790,8770,8593,8490,8690,8870,8810,9076,9463,9613,9665,9971,9955
"> 5 and = < 10 years","Passenger cars","Lithuania",,,,141800,125600,128200,114100,93800,58200,54300,60100,66200,84200,112700,152600,170805,168200,162320,165898,193768,215412,202027,190110,176090,155427,137514,154849,168452,178321
"> 5 and = < 10 years","Passenger cars","Luxembourg",,,,,,,62000,77060,74000,73000,76000,79000,81000,81000,82000,82000,100200,86500,91000,96200,102072,105137,109758,111807,113285,111145,111491,111444,114561
"> 5 and = < 10 years","Passenger cars","Malta",,,,,,,48471,91010,77700,55900,,,64479,62271,61353,63397,61250,54659,52500,56201,59550,65886,70831,66449,70794,62104,66156,67120,71551
"> 5 and = < 10 years","Passenger cars","Monaco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Passenger cars","Montenegro",,,,,,,,,,,,,,,,,,,,,,,,34969,31604,28368,30080,28245,28094
"> 5 and = < 10 years","Passenger cars","Netherlands",,,,2175000,2131000,2065000,2032000,2018000,2038000,2045000,2171000,2329000,2471000,2531000,2561000,2516000,2447000,2341000,2311000,2274000,2240184,2215554,2128276,2173385,2280411,2361872,2372786,2407069,2395315
"> 5 and = < 10 years","Passenger cars","North Macedonia",44435,41215,45000,47400,46600,43000,41000,45000,46000,64000,65000,,55200,44800,45900,35950,36380,37010,42000,46354,60521,62011,60501,55325,46379,34947,29922,27583,30020
"> 5 and = < 10 years","Passenger cars","Norway",,,459941,361900,321000,396000,456000,470000,,,,632000,649000,632000,598000,574000,595000,606000,622000,667000,686000,664242,678000,706331,712483,743188,783953,823396,820506
"> 5 and = < 10 years","Passenger cars","Poland",,,,,,,,,,2533700,2841700,2941000,3250000,3369000,3255000,3202000,3048000,2908000,3043000,3572000,3006189,3849060,3787828,3729092,3718070,2777558,2631518,2633232,2710986
"> 5 and = < 10 years","Passenger cars","Portugal",,,,,,1143000,1189000,1199000,,,,,,,,,,1193000,1105000,971000,975432,1018095,1032151,1004200,936891,837759,929226,890773,896657
"> 5 and = < 10 years","Passenger cars","Republic of Moldova",,,,,,,,,,,,99500,105906,38646,33238,,51110,58460,68980,87810,109950,110161,95553,82621,97563,87907,81457,83611,
"> 5 and = < 10 years","Passenger cars","Romania",,,,,,,,,,,,,,,,801000,890000,948000,1227000,1399000,1542966,1480416,1327374,1172523,970076,796395,790612,793042,791801
"> 5 and = < 10 years","Passenger cars","Russian Federation",,,,,,,,,6796000,6857000,7042000,6952000,7081000,7452000,7847000,8386000,8315000,8462000,8805000,9820000,10184574,,,,,,,,
"> 5 and = < 10 years","Passenger cars","San Marino",,,,,,,,,,,6327,7656000,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Passenger cars","Serbia",,,,,,,,,,,,,,243000,233000,243000,306000,417995,438449,416496,380776,359298,,,,,,,
"> 5 and = < 10 years","Passenger cars","Slovakia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Passenger cars","Slovenia",148925,180180,212802,300000,294000,275000,286000,277000,272000,274800,327000,358000,369000,367000,361000,350260,336731,334210,337970,349730,356713,346279,337773,335376,318518,295841,292847,295156,302753
"> 5 and = < 10 years","Passenger cars","Spain",3677886,4272000,4688000,4632000,4826000,4900000,4597000,4379000,4355000,4418000,4469000,5014000,5595000,5521000,6001000,6268000,6410000,6558000,6787000,6959000,7164000,6119620,5569615,4841799,4079268,3747233,3653793,3740582,4116614
"> 5 and = < 10 years","Passenger cars","Sweden",,,1366000,1278000,1125000,923000,901000,860000,804000,825000,869000,1009000,1184000,1286000,1321000,1381000,1345000,1222753,1189147,1225233,1271670,1257300,1187678,1195492,1207106,1159579,1160838,1247576,1278771
"> 5 and = < 10 years","Passenger cars","Switzerland",1136991,1201000,1265000,1275000,1271000,1226000,1180000,1154000,1141000,1131000,1156000,1218000,1261000,1261000,1351000,1337000,1302000,1262000,1228000,1222000,1256000,1277000,1301000,1361000,1428311,1437849,1458523,1493513,1491681
"> 5 and = < 10 years","Passenger cars","Tajikistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Passenger cars","Turkiye",,,,,,,,,,,,2963000,1609000,1416000,1202000,1365000,1366850,1486012,1694500,1694740,1930572,1818783,1808477,2075469,2578813,2862763,3116496,3477975,
"> 5 and = < 10 years","Passenger cars","Turkmenistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Passenger cars","Ukraine",,,,,,,,2388809,,,,,999959,,,1014727,,1139100,,,,,,,,,,,
"> 5 and = < 10 years","Passenger cars","United Kingdom",,,,8545000,8182000,7817000,7598000,7581000,8003000,8493000,8868000,9239135,9578000,9075000,9561000,8446000,10408000,11337000,11152000,10960000,,,9527442,9100051,8751244,8876967,,,10592617
"> 5 and = < 10 years","Passenger cars","United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Passenger cars","Uzbekistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Albania",2400,2500,,,,,,,,,,,,,,,,,,,,,,,710,644,480,299,267
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Armenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Austria",,2687,2687,2643,2655,2693,2687,2673,2693,2595,2504,2690,2924,2749,2708,2735,2942,3036,2900,3074,3161,3204,2946,3031,2666,2444,2232,2380,2534
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Azerbaijan",,,,,,,,3489,,,,,5324,5480,5796,6428,6730,6153,2390,2493,4302,4489,3444,,,4424,3584,,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Belarus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Belgium",3073,3336,3722,3954,4074,4155,4202,3900,3865,3850,3888,3974,3938,4221,4215,4414,4234,4204,4059,4143,4248,4639,4765,4894,4612,4209,4129,4163,4144
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,510,499,585,707,777,754,,536,,412,345,363
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Bulgaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Canada",,,,,,,,23337,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Croatia",,,1647,1716,1596,1341,1112,891,819,784,889,887,956,991,1013,974,1076,1105,1171,1169,1417,1624,1898,1800,1672,1437,1216,823,856
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Cyprus",,584,726,766,820,767,741,702,771,668,693,691,751,734,794,817,832,735,684,676,614,489,705,629,577,486,502,207,267
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Czechia",7224,8924,10080,9341,7993,6275,4460,3138,3300,3429,3569,3777,3976,4228,4473,4687,4699,4644,4574,4532,4513,4754,4397,4181,4143,3923,3887,3749,4094
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Denmark",3151,3246,3295,3352,3425,4257,5686,5955,5834,5711,4868,3874,3930,4284,4174,4005,,,,,3184,3446,3471,3622,3379,2981,2802,2751,3111
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Estonia",,,,,,1556,1148,868,604,522,626,603,541,589,567,561,501,537,614,814,848,947,953,858,801,817,829,967,1042
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Finland",,,,,2166,1915,1711,1604,1762,2055,2414,2772,3015,2972,3024,3085,3057,2859,2931,3012,3223,3283,3419,3386,3388,3126,3277,3286,3454
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","France",,,,,,20660,20226,20245,20265,17959,20890,21206,21598,25718,27264,26923,26097,,,,28468,30727,31141,31305,28575,28596,28795,27696,29444
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Germany",,24331,24849,25407,27004,21369,29363,28949,28500,26581,25004,24472,24747,24655,23005,22957,22942,22797,22499,22386,22621,23213,23375,22873,22362,22210,21916,20389,23127
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Greece",,2527,2853,3548,4551,5324,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Hungary",,,8380,6602,4930,3659,2736,2475,2879,3113,2738,2914,3368,3802,4483,4357,4085,3846,3677,3727,3888,4280,4447,4371,3856,3145,2767,2105,2680
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Iceland",30,371,,,451,435,390,368,311,263,244,234,449,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Ireland",,,,,,,,,,,,,,,,,3116,3058,2896,3479,4016,4557,4408,3909,2532,1956,2115,2339,3092
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Israel",,,,,,,,,,,,,,,,,,,,,,,,,10430,10040,10017,10421,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Italy",,,,,,,,10132,9287,9783,,14398,17169,19106,21273,21973,21347,21058,20103,19717,19501,18591,16596,15952,,12932,12544,10835,10428
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Kazakhstan",,,,,,,,,7690,5978,5183,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Kyrgyzstan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Latvia",,,,6456,6650,3579,2668,1888,1245,986,1032,1282,1431,1524,1568,1600,1275,1130,1117,1124,1199,998,1013,1062,976,908,992,977,928
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Liechtenstein",,,,,,,,38,37,36,28,28,31,26,45,44,47,50,50,27,32,31,33,25,53,47,44,38,48
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Lithuania",,,,5407,4631,3993,3178,2230,1505,1218,593,867,1461,1451,1441,1550,1528,1707,1815,1832,1761,1465,1209,1028,938,862,961,1019,1176
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Luxembourg",,,,,,,254,325,316,349,356,429,428,501,470,476,558,472,395,323,663,738,756,781,779,738,714,777,844
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Malta",,,,,,92,40,233,198,123,,,309,307,349,374,397,324,334,342,330,369,439,600,609,580,507,442,675
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Monaco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Montenegro",,,,,,,,,,,,,,,,,,,,,,,,299,206,122,136,,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Netherlands",,4000,,4187,4162,3975,3750,3192,2845,2607,2576,2636,2904,3053,3252,3425,3500,3551,3519,3610,,,3696,3881,3682,3509,3043,2721,2385
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","North Macedonia",815,700,,600,505,410,319,216,173,209,248,,397,530,435,356,404,383,373,279,309,275,363,561,593,529,533,369,203
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Norway",,,7512,8030,10162,11500,13368,14994,,,,13701,11727,9465,7678,5822,4689,4517,4334,4329,4615,4705,5041,5232,5382,5431,4801,4451,4462
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Poland",,,,,,,,,,10634,11877,10844,13390,14096,14336,13587,12238,11845,8806,9108,12193,15580,15668,15093,14461,10377,9662,9640,9814
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Portugal",,,,,,2523,2676,2921,,,,,,,,,,3744,3463,2842,2830,3499,3279,3091,2677,2855,2666,1502,1625
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Republic of Moldova",,,,4725,3960,2924,2064,,1091,889,742,7458,6977,1920,1484,,1716,2109,1690,1834,1868,1659,1231,1099,1207,1011,764,873,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Romania",,,,,,,,,,,,,,,,7536,8631,8431,10926,11976,15627,14558,12985,11455,10102,5231,5588,7508,8010
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Russian Federation",,,,,,,,,225975,222441,218747,213295,212160,220928,238805,245621,254440,257994,258911,264633,246924,,,,,,,,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","San Marino",,,,,,,,,,,19,23,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Serbia",,,,,,,,,,,,,,1240,1261,1333,1683,2045,2536,2593,2848,2794,,,,,,,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Slovakia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Slovenia",1073,1062,962,,939,734,646,574,538,524,,,811,876,848,804,748,712,698,716,750,787,795,822,785,760,803,704,842
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Spain",11478,13044,13780,13681,14382,14430,13452,11931,11564,12050,13280,15300,16056,16400,16600,16420,16136,15922,16699,17058,,18251,16853,15921,13787,11775,10892,10882,11914
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Sweden",,,5030,5001,4832,4393,4384,3511,3281,3400,3404,3826,4452,4501,4718,4611,4637,4462,4447,4442,4223,4079,4304,4411,4976,5667,6083,5305,5321
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Switzerland",9698,10442,11630,12306,12200,11451,10601,9740,9129,8957,9073,9472,2200,2500,2600,2600,2900,3100,3200,3200,3400,3400,3200,3300,4798,4371,4130,3758,3976
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Tajikistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Turkiye",,,,,,,,,,,,148309,159820,140122,119133,128287,127508,138640,161822,162049,181357,167730,148439,146117,161259,156593,163011,193245,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Turkmenistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Ukraine",,,,,,,,48942,,,,,33849,,,39405,,37951,430,502,648,585,547,475,,,,,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","United Kingdom",,,,42109,49091,,43324,45236,49156,53544,58069,61107,60629,58210,56030,56786,53563,56985,58239,56413,,,49244,45669,43103,40424,,,40437
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Motor coaches, buses and trolleybuses","Uzbekistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Light goods road vehicles","Albania",9268,11901,,,,,,,,,,,,,,,,,,,,,,,,,,109,90
"> 5 and = < 10 years","Light goods road vehicles","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Light goods road vehicles","Armenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Light goods road vehicles","Austria",,86889,91690,95756,98286,96325,96684,95280,93910,95020,98808,102046,107512,97821,98147,95408,98396,103979,106186,112537,104408,111871,110357,110862,114969,116093,116391,122516,126114
"> 5 and = < 10 years","Light goods road vehicles","Azerbaijan",,,18566,18020,,,,15324,,,,,17877,15144,17205,20938,22066,19964,,18252,20834,24977,24135,,,3952,4633,,
"> 5 and = < 10 years","Light goods road vehicles","Belarus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Light goods road vehicles","Belgium",109137,122207,132246,142830,144503,140450,133857,131682,128998,136037,150158,171372,162499,174778,186980,186866,188483,191020,200417,202156,,,,,,,,,
"> 5 and = < 10 years","Light goods road vehicles","Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,14893,14855,15921,15403,17929,16606,,10597,9860,10742,10604,10919
"> 5 and = < 10 years","Light goods road vehicles","Bulgaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Light goods road vehicles","Canada",,,,,,,,,,,,,142894,,,132758,,,,,,,,,,,,,
"> 5 and = < 10 years","Light goods road vehicles","Croatia",,,26876,31761,34404,32200,24283,27316,27077,25897,29274,30044,34505,36659,36945,36878,37449,37546,38984,40150,41819,44591,34322,31508,30140,28428,27795,32274,37511
"> 5 and = < 10 years","Light goods road vehicles","Cyprus",,26747,30646,34548,37826,37275,35559,35623,33868,31669,33501,32832,31852,32372,33738,33876,32379,29755,26753,24534,22236,20602,19945,18086,14899,12239,11839,11013,11134
"> 5 and = < 10 years","Light goods road vehicles","Czechia",42067,45229,47552,45595,50783,55175,59973,69223,86349,98331,106744,113893,121535,123499,124382,130819,144910,163952,191280,187893,,,,,,,,,
"> 5 and = < 10 years","Light goods road vehicles","Denmark",16063,16676,,,,,,,,,9802,11030,11896,12000,10924,9380,,,,,168092,165253,141670,98882,79547,73628,82134,94119,104277
"> 5 and = < 10 years","Light goods road vehicles","Estonia",,,,,,20940,16700,13545,10677,9007,13751,15169,14700,16059,15766,13363,13655,14265,16016,18885,16633,15564,14780,14765,13851,14463,17312,19766,21132
"> 5 and = < 10 years","Light goods road vehicles","Finland",,,,,107367,88853,62293,45050,43492,50439,64971,86673,95222,101083,103686,104512,107009,105474,108753,113879,82602,76121,73503,73901,69282,64862,68591,70610,70344
"> 5 and = < 10 years","Light goods road vehicles","France",,,,,,1739425,1619170,1657451,1491727,1476996,1479280,1668940,1679868,1682793,1727058,1659198,1675691,,,,1749205,1699969,1686029,1128272,1136706,1097920,1037160,1022464,981030
"> 5 and = < 10 years","Light goods road vehicles","Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Light goods road vehicles","Germany",,553000,567566,667541,846000,842374,873997,905306,834403,766803,758964,771905,782256,814183,663523,632246,630926,643385,675400,731463,,,,,,,,,
"> 5 and = < 10 years","Light goods road vehicles","Greece",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Light goods road vehicles","Hungary",,,101292,87450,79415,72777,71998,65371,77511,82829,81814,81400,100581,122742,136603,172377,142285,131066,123844,116269,104173,105397,93008,87402,84196,77131,69383,81571,89761
"> 5 and = < 10 years","Light goods road vehicles","Iceland",3324,3539,,,5035,5002,4647,4456,3715,2835,2829,2753,6400,,,,,,,,,,,,,,,,4315
"> 5 and = < 10 years","Light goods road vehicles","Ireland",41119,43558,50976,55703,62709,61210,58926,56996,59975,66683,78348,90924,,,121970,,97463,97122,108091,123714,138904,142536,132046,110496,63029,49647,55583,69316,84739
"> 5 and = < 10 years","Light goods road vehicles","Israel",,,,,,,,,,,,,,,,,,,,,,,,,49482,36726,35775,34865,
"> 5 and = < 10 years","Light goods road vehicles","Italy",,,,,,,,564604,538391,529398,,614015,671180,762760,870992,885249,904127,894754,864357,797641,,,,,,,,,
"> 5 and = < 10 years","Light goods road vehicles","Kazakhstan",,,,143314,107186,77210,55137,42210,30146,20731,16182,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Light goods road vehicles","Kyrgyzstan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Light goods road vehicles","Latvia",,,,24112,20575,17292,13569,10258,6628,6450,8093,10651,12959,14399,15572,14292,12111,11028,12589,15153,,12780,12368,11932,11469,11452,13479,14497,14757
"> 5 and = < 10 years","Light goods road vehicles","Liechtenstein",,,,,,,,555,508,507,560,643,740,812,857,845,821,797,727,692,664,755,752,821,893,908,938,1006,1079
"> 5 and = < 10 years","Light goods road vehicles","Lithuania",,,,29383,25567,22083,14550,13368,7287,8334,3451,10615,12492,14593,16636,16554,16051,16666,21757,21729,,,,,,,,,
"> 5 and = < 10 years","Light goods road vehicles","Luxembourg",,,,,,,4588,6426,5200,5137,5599,6368,6966,7764,8063,8139,9306,8664,7923,7118,8429,8471,8574,8999,9163,9175,9559,10356,10826
"> 5 and = < 10 years","Light goods road vehicles","Malta",,,,,,12768,12171,20622,,,,,8240,7046,5474,6025,4998,4312,3917,4330,4369,5096,5185,4980,5465,4507,5039,6066,6765
"> 5 and = < 10 years","Light goods road vehicles","Monaco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 5 and = < 10 years","Light goods road vehicles","Montenegro",,,,,,,,,,,,,,,,,,,,,,,,2869,2669,2448,2700,,
"> 5 and = < 10 years","Light goods road vehicles","Netherlands",,,,203881,214421,224278,225865,255301,247229,265454,307278,351447,365938,359708,351112,330803,329246,313082,297782,296111,,,248556,245097,252158,241291,224081,231388,242773
"> 5 and = < 10 years","Light goods road vehicles","North Macedonia",3892,3406,3787,3826,3675,3438,3235,3079,2967,3144,3352,,2868,2977,1813,1400,1293,1037,5366,5740,7170,7753,8292,8422,7420,5987,5782,,
"> 5 and = < 10 years","Light goods road vehicles","Norway",,,119734,96365,,,,,,,,147400,146983,149744,142427,137751,142932,150850,163419,185904,,,,154292,142579,137578,142241,147419,145752
"> 5 and = < 10 years","Light goods road vehicles","Poland",,,,,,,,,,319473,380597,390954,494225,559743,579540,593909,588045,560872,410654,599837,415298,501607,490176,520738,518133,415831,390509,394182,362735
"> 5 and = < 10 years","Light goods road vehicles","Portugal",,,,,,368881,407967,394185,,,,,,,,,,333255,306944,273605,256783,249372,229337,204395,162328,178855,167584,157758,119400
