"Passenger road vehicle fleet and rate per thousand inhabitants at 31 December by vehicle category"

"Measurement","Vehicle category","Country","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"absolute value","Motor coaches, buses and trolley bus","Sweden",14127,14293,14577,14753,14838,14924,14869,14417,14246,14013,13742,13363,13477,13643,13315,13474,13407,13868,13942,14197,13981,13987,14109,13886,14418,14377,14913,13488,13593
"absolute value","Motor coaches, buses and trolley bus","Switzerland",13557,36086,36967,37662,38508,39012,39692,40260,41342,42401,43629,44784,9300,9000,9200,8800,9000,9100,9300,9500,9400,9600,8000,9900,14583,14395,14265,13111,13290
"absolute value","Motor coaches, buses and trolley bus","Tajikistan",..,..,..,10214,8929,9777,9242,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Motor coaches, buses and trolley bus","Turkiye",244154,253969,263248,277672,298953,319856,333869,354339,358687,361797,368894,471666,501929,533472,561729,583482,585086,595483,609341,632068,641733,638464,666269,684294,700503,706050,706731,705802,..
"absolute value","Motor coaches, buses and trolley bus","Turkmenistan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26063,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Motor coaches, buses and trolley bus","Ukraine",..,..,..,..,..,..,144360,145548,143453,159293,174116,175945,167889,180010,185503,188008,..,175175,253446,3596,3570,3032,2792,2856,..,..,..,2980,..
"absolute value","Motor coaches, buses and trolley bus","United Kingdom",157695,158360,158000,168000,165820,166000,173358,177793,176968,177994,179691,182659,178437,181090,180990,179972,173728,171203,168062,166297,..,..,162696,161500,158432,154990,..,..,140675
"absolute value","Motor coaches, buses and trolley bus","United States",654432,676000,685500,694781,697548,715540,728777,746125,749548,760717,776550,795274,807053,825000,838000,847000,841933,846051,666064,764509,864549,872027,888907,976161,983232,992153,..,1006469,..
"absolute value","Motor coaches, buses and trolley bus","Uzbekistan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25590,25869,22763,22019,19724,..,20328,15662,14229,15800
"absolute value","Trams","Albania",0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,..,0,0
"absolute value","Trams","Andorra",..,..,..,..,..,..,..,..,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Armenia",140,125,118,118,107,87,77,75,75,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Austria",..,..,..,..,..,..,..,..,..,..,..,..,123456,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Azerbaijan",..,104,101,93,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Belarus",426,413,397,366,357,357,355,..,..,..,..,..,..,..,..,333,284,280,276,273,283,284,322,313,306,290,286,283,278
"absolute value","Trams","Belgium",..,..,271,270,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Bosnia and Herzegovina",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69,61,61
"absolute value","Trams","Bulgaria",431,423,416,397,368,366,355,369,365,363,342,336,331,329,304,303,303,305,317,309,280,285,280,280,311,301,313,317,316
"absolute value","Trams","Canada",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Croatia",489,461,469,452,446,449,446,443,440,441,440,439,433,427,423,430,415,407,394,383,369,369,369,361,361,346,346,345,345
"absolute value","Trams","Cyprus",0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
"absolute value","Trams","Czechia",1908,1861,1599,1929,1947,1982,1899,1888,1876,1865,1859,1861,1855,1818,1877,1882,1866,1826,1828,1817,1835,1828,1704,1711,1716,1693,1699,1665,1639
"absolute value","Trams","Denmark",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Estonia",132,131,129,131,134,130,129,125,121,116,..,104,89,95,96,88,85,77,77,77,77,67,78,72,72,70,70,66,65
"absolute value","Trams","Finland",108,108,105,105,105,104,104,107,109,115,122,127,131,131,131,130,132,132,132,132,125,..,..,..,128,112,111,112,132
"absolute value","Trams","France",..,..,..,..,..,..,..,..,..,..,..,..,532,685,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Georgia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Germany",6729,6417,6186,6063,5676,5335,5159,4852,4694,4560,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Greece",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Hungary",1025,1024,950,848,843,829,898,898,886,872,854,829,829,769,..,713,708,711,722,740,715,732,737,723,723,724,716,730,741
"absolute value","Trams","Iceland",0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0
"absolute value","Trams","Ireland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65,66,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Israel",0,0,0,0,0,0,0,0,0,0,..,..,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Italy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1044,..,947,..,..,..
"absolute value","Trams","Kazakhstan",381,353,321,258,265,248,247,258,258,260,257,..,263,263,248,..,..,240,231,220,221,220,208,170,155,160,147,..,..
"absolute value","Trams","Kyrgyzstan",0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Latvia",403,399,358,355,349,339,336,336,335,333,332,332,336,325,323,319,313,319,329,312,273,274,266,266,231,222,215,224,244
"absolute value","Trams","Liechtenstein",..,..,..,..,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0
"absolute value","Trams","Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"absolute value","Trams","Luxembourg",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,0,0,..,..,..,..,..,..
"absolute value","Trams","Malta",0,0,0,0,0,0,0,0,0,0,..,..,0,0,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..
"absolute value","Trams","Monaco",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
"absolute value","Trams","Montenegro",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Netherlands",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","North Macedonia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Norway",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Poland",4208,4095,3979,3944,3915,3876,3804,3768,3760,3710,3687,3642,3631,3619,3656,3672,3622,3620,3540,3390,3383,3377,3373,3332,3204,3189,3163,3106,3083
"absolute value","Trams","Portugal",144,123,108,84,84,72,84,70,70,70,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Republic of Moldova",0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Romania",2257,2344,2203,2216,2187,2202,..,..,..,..,..,..,..,1513,1433,1481,891,1411,1358,1350,1304,1295,1272,1260,1223,1203,1105,1102,1053
"absolute value","Trams","Russian Federation",13913,13499,13263,13300,12700,12400,12300,431,11792,11292,10898,10587,10319,9919,9651,9400,9004,8822,8590,8439,8346,..,..,..,..,..,..,..,..
"absolute value","Trams","San Marino",..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Serbia",..,..,..,..,..,..,..,..,..,..,..,..,..,240,230,228,212,204,213,222,228,242,..,..,..,..,..,241,..
"absolute value","Trams","Slovakia",405,247,399,390,379,373,371,371,367,356,355,355,355,357,357,355,345,345,345,345,345,342,403,349,291,294,292,292,292
"absolute value","Trams","Slovenia",0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0
"absolute value","Trams","Spain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Sweden",280,265,265,265,..,..,265,369,370,381,412,412,412,418,450,481,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Switzerland",736,679,659,650,645,808,752,770,774,771,770,..,770,760,754,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Tajikistan",0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Turkiye",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Turkmenistan",0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Ukraine",4701,4475,4277,3927,3681,3570,..,3459,..,..,..,..,2905,..,..,2736,..,2522,2412,2314,2277,2201,1961,1988,1971,1967,1933,1922,..
"absolute value","Trams","United Kingdom",85,85,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,397,406,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","United States",..,1054,999,1140,1229,1220,1297,1577,1366,1445,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Trams","Uzbekistan",469,446,424,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,108,..,90,87,82,55,20,20,20,20
"per 1000 inhabitants","Special purpose vehicles","Albania",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,4,5,5,4,4
"per 1000 inhabitants","Special purpose vehicles","Andorra",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Special purpose vehicles","Armenia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Special purpose vehicles","Austria",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,..,5,5,5,6,6,6,6
"per 1000 inhabitants","Special purpose vehicles","Azerbaijan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,1,1,..,..
"per 1000 inhabitants","Special purpose vehicles","Belarus",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Special purpose vehicles","Belgium",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,6,6,6,6,6,7,7,7
"per 1000 inhabitants","Special purpose vehicles","Bosnia and Herzegovina",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,2,..,8,9
"per 1000 inhabitants","Special purpose vehicles","Bulgaria",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,5,5,5,5,5,5,6,6
"per 1000 inhabitants","Special purpose vehicles","Canada",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Special purpose vehicles","Croatia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,3,3,3,3,3,4,4,4
"per 1000 inhabitants","Special purpose vehicles","Cyprus",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,6,5,5,5,4,4,4,4,4,4,4,4,4
"per 1000 inhabitants","Special purpose vehicles","Czechia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,3,3,3,3,3,3,3,3,3
"per 1000 inhabitants","Special purpose vehicles","Denmark",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0
"per 1000 inhabitants","Special purpose vehicles","Estonia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Special purpose vehicles","Finland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14,15,15,15,16,16,17,17
"per 1000 inhabitants","Special purpose vehicles","France",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,7,7,11,3,3,3,3,3
"per 1000 inhabitants","Special purpose vehicles","Georgia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9,9,10,11,..,..,..,..,..
"per 1000 inhabitants","Special purpose vehicles","Germany",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,..,3,..,..,3,3,3,4,4,4,4,4,4
"per 1000 inhabitants","Special purpose vehicles","Greece",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,2,2,2,2,2,..,..,..
"per 1000 inhabitants","Special purpose vehicles","Hungary",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,1,1,1,1,1,1,1
"per 1000 inhabitants","Special purpose vehicles","Iceland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Special purpose vehicles","Ireland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9,..,13,13,14,14,14,13,14,14,14
"per 1000 inhabitants","Special purpose vehicles","Israel",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,1,..
"per 1000 inhabitants","Special purpose vehicles","Italy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,11,12,12,12,12,13,13,13
"per 1000 inhabitants","Special purpose vehicles","Kazakhstan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Special purpose vehicles","Kyrgyzstan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Special purpose vehicles","Latvia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,2,2,2,2,3,3,3,3
"per 1000 inhabitants","Special purpose vehicles","Liechtenstein",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17,17,18,18,18,19,19,19,20
"per 1000 inhabitants","Special purpose vehicles","Lithuania",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,4,4,4,4,4,4,4,4
"per 1000 inhabitants","Special purpose vehicles","Luxembourg",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,5,5,5,6,6,6,6,7
"per 1000 inhabitants","Special purpose vehicles","Malta",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,7,8,7,7,7,7,8,8
"per 1000 inhabitants","Special purpose vehicles","Monaco",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Special purpose vehicles","Montenegro",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,1,1,..,..
"per 1000 inhabitants","Special purpose vehicles","Netherlands",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,4,4,4,3,3,3,3,3
"per 1000 inhabitants","Special purpose vehicles","North Macedonia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Special purpose vehicles","Norway",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,1,1,2,2
"per 1000 inhabitants","Special purpose vehicles","Poland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,4,4,5,5,5,6,6,6
"per 1000 inhabitants","Special purpose vehicles","Portugal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,3,3,3,3,3,3,3,4,4,4,5
"per 1000 inhabitants","Special purpose vehicles","Republic of Moldova",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Special purpose vehicles","Romania",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,2,2,2,2,2,2,2,..,2,2,2,2,3
"per 1000 inhabitants","Special purpose vehicles","Russian Federation",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Special purpose vehicles","San Marino",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Special purpose vehicles","Serbia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Special purpose vehicles","Slovakia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,6,6,7,7,7
"per 1000 inhabitants","Special purpose vehicles","Slovenia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,7,7,8,8,9,9,10,10
"per 1000 inhabitants","Special purpose vehicles","Spain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9,7,7,8,8,8,8,8
"per 1000 inhabitants","Special purpose vehicles","Sweden",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,2,2,2,2,2,2,2,3
"per 1000 inhabitants","Special purpose vehicles","Switzerland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,..
"per 1000 inhabitants","Special purpose vehicles","Tajikistan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Special purpose vehicles","Turkiye",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,1,1,1,1,1,1,1,..
"per 1000 inhabitants","Special purpose vehicles","Turkmenistan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Special purpose vehicles","Ukraine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Special purpose vehicles","United Kingdom",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,..,..,0
"per 1000 inhabitants","Special purpose vehicles","United States",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Special purpose vehicles","Uzbekistan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0
"per 1000 inhabitants","Mopeds","Albania",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,11,12,13,9,11
"per 1000 inhabitants","Mopeds","Andorra",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Mopeds","Armenia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Mopeds","Austria",..,..,47,46,46,46,45,44,43,38,42,36,37,35,36,36,37,36,36,36,35,34,33,32,31,31,31,31,31
"per 1000 inhabitants","Mopeds","Azerbaijan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Mopeds","Belarus",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Mopeds","Belgium",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15,17,18,20
"per 1000 inhabitants","Mopeds","Bosnia and Herzegovina",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,1,1,1,1,1,1,1,..,2,2
"per 1000 inhabitants","Mopeds","Bulgaria",..,..,..,34,35,34,35,..,..,37,..,6,6,4,5,6,7,7,8,8,9,10,10,10,11,12,12,12,13
"per 1000 inhabitants","Mopeds","Canada",1,1,1,1,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Mopeds","Croatia",..,..,2,4,6,7,8,10,11,13,15,17,19,22,25,28,28,27,26,23,23,22,21,21,21,20,20,19,19
"per 1000 inhabitants","Mopeds","Cyprus",..,..,57,52,50,48,47,44,41,39,38,36,33,31,29,27,24,21,19,18,17,17,16,15,14,13,12,12,11
"per 1000 inhabitants","Mopeds","Czechia",..,..,49,50,50,50,44,42,43,44,43,43,45,46,46,46,45,45,46,46,46,45,46,46,46,46,45,45,45
"per 1000 inhabitants","Mopeds","Denmark",..,..,..,3,6,9,11,12,13,13,13,12,12,12,12,11,..,..,..,..,9,8,8,8,7,7,6,5,5
"per 1000 inhabitants","Mopeds","Estonia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,2,9,11,12,13,13,14,15,16,17,17
"per 1000 inhabitants","Mopeds","Finland",19,17,18,19,19,20,20,20,20,21,22,25,28,32,36,41,45,48,52,54,56,57,58,59,60,61,62,63,64
"per 1000 inhabitants","Mopeds","France",29,27,26,26,25,25,24,24,23,22,22,21,21,20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Mopeds","Georgia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Mopeds","Germany",21,21,21,20,20,21,21,..,20,21,19,20,22,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Mopeds","Greece",..,..,13,13,14,14,15,14,15,15,15,16,..,..,..,..,..,..,..,..,..,..,133,122,130,..,..,..,..
"per 1000 inhabitants","Mopeds","Hungary",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Mopeds","Iceland",..,..,2,2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,7,7,8,8
"per 1000 inhabitants","Mopeds","Ireland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"per 1000 inhabitants","Mopeds","Israel",5,5,6,6,6,6,6,6,6,6,..,..,5,5,5,4,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Mopeds","Italy",..,..,65,66,67,70,78,78,79,80,103,98,..,..,..,..,49,43,42,36,37,42,40,41,42,43,44,44,50
"per 1000 inhabitants","Mopeds","Kazakhstan",..,..,..,..,..,35,76,77,81,76,95,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Mopeds","Kyrgyzstan",..,..,..,..,..,..,..,..,15,16,..,..,10,23,4,4,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Mopeds","Latvia",..,..,..,..,..,..,..,..,..,..,..,3,3,4,6,8,9,9,10,11,12,13,14,15,16,17,18,18,19
"per 1000 inhabitants","Mopeds","Liechtenstein",..,..,33,31,36,43,47,29,28,33,33,29,25,25,25,27,34,37,34,33,29,28,29,30,32,31,33,36,36
"per 1000 inhabitants","Mopeds","Lithuania",..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,4,5,6,6,7,7,3,4,4,4,4,5,5,6
"per 1000 inhabitants","Mopeds","Luxembourg",..,..,..,..,..,..,..,44,43,43,42,50,49,51,52,51,51,52,52,53,16,17,17,17,16,15,14,14,13
"per 1000 inhabitants","Mopeds","Malta",..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4
"per 1000 inhabitants","Mopeds","Monaco",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27
"per 1000 inhabitants","Mopeds","Montenegro",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Mopeds","Netherlands",..,..,44,46,44,34,..,..,31,31,31,31,..,24,27,29,58,62,64,65,66,67,68,69,71,65,72,74,69
"per 1000 inhabitants","Mopeds","North Macedonia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Mopeds","Norway",29,27,26,26,26,26,26,26,27,29,31,32,32,33,33,34,34,35,35,35,35,35,34,34,33,31,30,31,30
"per 1000 inhabitants","Mopeds","Poland",..,..,20,20,20,19,17,15,10,10,10,8,9,9,14,18,22,24,27,29,30,32,33,34,35,35,36,37,37
"per 1000 inhabitants","Mopeds","Portugal",..,..,..,..,..,..,..,..,53,44,46,43,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Mopeds","Republic of Moldova",..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,..,..,..,..,1,1,1,1,1,1,1,1,..,..
"per 1000 inhabitants","Mopeds","Romania",..,..,9,9,9,9,9,9,8,6,6,6,..,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"per 1000 inhabitants","Mopeds","Russian Federation",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Mopeds","San Marino",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"per 1000 inhabitants","Mopeds","Serbia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,2,3,4,..,..,..,..,..,5,..
"per 1000 inhabitants","Mopeds","Slovakia",..,..,27,..,..,..,..,..,..,..,..,..,..,..,..,..,5,5,6,6,6,6,6,6,6,6,6,6,6
"per 1000 inhabitants","Mopeds","Slovenia",..,..,0,0,..,..,0,0,0,0,15,15,17,17,18,20,21,21,21,20,20,20,20,21,29,31,31,32,33
"per 1000 inhabitants","Mopeds","Spain",..,..,..,..,..,..,..,..,52,49,51,52,..,54,54,52,51,49,48,46,45,44,44,43,42,41,41,40,39
