"Passenger road vehicle fleet and rate per thousand inhabitants at 31 December by vehicle category"

"Measurement","Vehicle category","Country","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"absolute value","Mopeds","Bosnia and Herzegovina",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4449,4087,3831,3488,2665,2533,2348,2768,4787,..,5538,5911
"absolute value","Mopeds","Bulgaria",284000,284600,..,286800,288690,281749,284000,..,..,290600,..,45000,49000,33000,39000,47000,51000,55000,58000,62000,65000,68982,71885,74690,77920,80813,83715,85503,87173
"absolute value","Mopeds","Canada",25563,23919,22281,21093,20013,19822,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Mopeds","Croatia",9808,10986,11193,18000,25000,31581,38000,43000,49000,57000,65000,74000,84000,94000,107000,121000,122000,115000,112166,99000,97000,94000,90440,87507,85121,83362,80738,77610,75700
"absolute value","Mopeds","Cyprus",38500,38400,37400,34700,33400,32400,32100,30600,29000,27400,27200,26000,24200,23000,22000,20900,19200,17100,15900,15800,14745,14392,13480,12828,12156,11581,11021,10616,10033
"absolute value","Mopeds","Czechia",508771,509463,511000,512038,519737,519818,454100,430500,438000,444000,438000,439000,460000,469000,476000,478000,473000,478000,481000,481000,479864,478771,485226,485045,484957,484691,484011,483956,483163
"absolute value","Mopeds","Denmark",..,..,..,18243,33986,48107,57707,64615,67975,68591,67961,67313,66653,65000,63263,61224,..,..,..,..,47716,45970,44624,43111,41983,38404,32222,30329,28520
"absolute value","Mopeds","Estonia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70,100,130,2100,12430,13904,15278,16462,17579,18713,19909,21085,21950,22830
"absolute value","Mopeds","Finland",94000,88000,94000,96000,98000,101000,103000,103000,103000,108000,116000,129000,145000,166000,188000,217000,240000,260000,279000,293000,303000,311097,317364,323854,332016,337671,343388,351109,356261
"absolute value","Mopeds","France",1721000,1608000,1562000,1540000,1518000,1482000,1461000,1442000,1421000,1387000,1357000,1331000,1303000,1262000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Mopeds","Georgia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Mopeds","Germany",1690000,1667000,1728000,1667000,1634000,1747000,1743000,..,1594749,1682523,1583917,1662765,1785620,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Mopeds","Greece",119800,130300,134600,141000,147100,150500,162100,156100,167915,161400,161700,178637,..,..,..,..,..,..,..,..,..,..,1441208,1316351,1398351,..,..,..,..
"absolute value","Mopeds","Hungary",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
