,Country name,Country code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
29,Botswana,BWA,,,,,,,,,,,,,,,,,,,,,,365439.0,399121.0,415256.0,433843.0,467749.0,497875.0,525987.0,551833.0,599344.0,577773.0,,
30,Bouvet Island,BVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,64164723.0,66215856.0,68456385.0,71021475.0,73807436.0,75863573.0,,
32,British Indian Ocean Territory,IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,,,155696.0,,,220305.0,244016.0,247081.0,247655.0,257676.0,257534.0,262726.0,270211.0,261273.0,,
34,Bulgaria,BGR,,,,1708942.0,1844188.0,1913016.0,1978482.0,2004968.0,2093532.0,2180852.0,2295395.0,2399152.0,2497818.0,2646835.0,2792311.0,2909642.0,2016847.0,2367199.0,2690410.0,2844899.0,2959914.0,3066212.0,3197318.0,3321453.0,3449341.0,3630438.0,4029027.0,3587731.0,3619657.0,3704939.0,3347644.0,3306709.0,
35,Burkina Faso,BFA,,,,,,,,,,,,,,,,,,,,,,,,,,299085.0,324185.0,352657.0,382905.0,415257.0,447303.0,,
36,Burundi,BDI,,,,,,,,,,,,,,,,,,,,,,,,,,30325.0,34266.0,48442.0,48978.0,49131.0,,,
37,Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,57360.0,,,,,,
38,Cambodia,KHM,,,135088.0,141964.0,149628.0,155974.0,163239.0,171268.0,176268.0,186480.0,194876.0,201225.0,210213.0,220737.0,236705.0,249249.0,,,,,,,,,,,120553.0,,,,,,
39,Cameroon,CMR,,,,,,,,,,,,,,,,,,,,70367.0,67116.0,23423.0,57599.0,61236.0,,50081.0,48747.0,51142.0,,,,,
40,Canada,CAN,,,,16334762.0,16597303.0,16676888.0,16894798.0,17078194.0,17581125.0,16611174.0,17120053.0,17426850.0,17919747.0,18227555.0,18429786.0,18804804.0,,,20228489.0,20651580.0,20354309.0,,20739380.0,21350538.0,21820246.0,22158329.0,22500673.0,22678328.0,23137203.0,23472111.0,23810595.0,24157697.0,
41,Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,38588.0,38347.0,35067.0,35620.0,37904.0,31528.0,,
42,Central African Republic,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Chad,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,1124000.0,,,,,,
44,Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,4464951.0,4676852.0,4900037.0,5182245.0,5393768.0,5591145.0,,
45,China,CHN,,,,,,,,,,,,,,,,21324500.0,26195700.0,31959900.0,38389100.0,48450900.0,61241200.0,74783700.0,89430099.0,105617700.0,123267000.0,140958700.0,162782400.0,184695400.0,205554100.0,224742800.0,241661900.0,260158400.0,
46,Christmas Island,CXR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Cocos (Keeling) Islands,CCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Colombia,COL,,,,,,,,,,,,,,,,,,,,,,,,,,5186532.0,5440622.0,5679528.0,5937038.0,6143287.0,6310037.0,,
49,Comoros,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,34898.0,,,,,,
50,Congo,COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Congo, Democratic Republic of the",COD,,,,,,,,,,,,,,,,,,,,,,,,,,53054.0,59187.0,,,,,,
52,Cook Islands,COK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,1076401.0,1127919.0,1180351.0,1225156.0,1249334.0,1317164.0,,
54,Côte d'Ivoire,CIV,,,,,,,,,,,,,,,,,,,,,,,,,,53054.0,59187.0,,,,,,
55,Croatia,HRV,,,,703241.0,768352.0,788304.0,935231.0,1046783.0,1120634.0,1181882.0,1245326.0,1317968.0,1369704.0,1433658.0,1487260.0,1538129.0,1596310.0,1679957.0,1725875.0,1711048.0,1681298.0,1674837.0,1588231.0,1591346.0,1619747.0,1651261.0,1715090.0,1769843.0,1853694.0,1924591.0,1953808.0,2014573.0,
56,Cuba,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,413310.0,417957.0,417586.0,418524.0,,,,
57,Curaçao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,91398.0,93015.0,97783.0,103273.0,98503.0,77670.0,,
58,Cyprus,CYP,,,,295383.0,306868.0,323852.0,333844.0,343452.0,361048.0,370960.0,385615.0,400945.0,408789.0,425921.0,452828.0,476572.0,491944.0,531775.0,569181.0,588546.0,587093.0,591464.0,592300.0,587125.0,585519.0,594240.0,617430.0,637353.0,664821.0,690196.0,697093.0,712856.0,
59,Czechia,CZE,,,,3036310.0,3143307.0,3283105.0,3456691.0,3677668.0,3793232.0,3748391.0,3755445.0,3869419.0,4017935.0,4092385.0,4232154.0,4418295.0,4620235.0,4855247.0,5050787.0,5056710.0,5113619.0,5198906.0,5330037.0,5350568.0,4860518.0,5788058.0,6000877.0,6253164.0,6480562.0,6670879.0,6801020.0,6844940.0,
60,Denmark,DNK,,,,1661424.0,1664516.0,1734515.0,1795445.0,1840341.0,1876121.0,1904365.0,1916854.0,1936988.0,1953322.0,2321594.0,2366159.0,1943786.0,2084257.0,2133739.0,2163058.0,2148033.0,2191063.0,2224707.0,2263196.0,2735574.0,2782306.0,2841291.0,2917922.0,2981468.0,3039751.0,3087407.0,3154582.0,3216093.0,
61,Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Dominica,DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,33049.0,,,,,,
63,Dominican Republic,DOM,,,,,,,,,,,,,,,,,,,,,,,,,,1253523.0,1313906.0,1380196.0,1460487.0,1510974.0,1564954.0,,
64,Ecuador,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,1494153.0,1578295.0,1707376.0,1821145.0,1764132.0,1695047.0,,
65,Egypt,EGY,,,,,,,,,,,,,,,,,,,,,,,,,,5787042.0,6173298.0,6628663.0,7040075.0,7343380.0,6776959.0,,
66,El Salvador,SLV,,,,,,,,,,,,,,,,,,,,,,,,,,,798866.0,,,,,,
67,Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,68370.0,,,,,,
