,Country name,Country code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
197,Serbia,SRB,,,,,,,,,,,,,,,,1762671,1654149,1623166,1642628,1805481,1737010,1858426,1892453,1934291,1959824,2041677,2037886,2202345,2238533,2335435,2174718,,
198,Seychelles,SYC,,,,,,,,,,,,,,,,,,,,,,,,,,19912,21964,23189,24558,25871,26909,,
199,Sierra Leone,SLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Singapore,SGP,296204,309594,312482,331638,350845,374629,395448,407670,406655,414992,426114,439344,438687,440061,453050,476460,512171,556017,592473,620096,640128,650377,665383,668892,665313,651164,650101,657214,658015,670884,671109,681092,685287
201,Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Slovakia,SVK,,,,1156810,1155588,1177584,1212515,1295855,1364116,1407692,1438532,1465164,1509055,1550076,1380704,1524111,1550734,1679339,1824041,1886936,1975227,2062406,2143574,2204868,2279806,2376227,2749107,2867120,2983710,3061693,2774856,2834711,
203,Slovenia,SVN,,,,671591,698471,743376,775858,829386,866008,903284,925789,943655,976958,946089,970147,1028702,1052409,1093895,1131467,1144885,1148157,1153566,1152848,1078898,1081083,1092694,1112183,1135047,1161912,1185006,1189832,1209397,
204,Solomon Islands,SLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Somalia,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,South Africa,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,9927814,,10425245,10670352,10950244,10899813,,
207,South Georgia and the South Sandwich Islands,SGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,South Sudan,SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Spain,ESP,,,,16300638,16686838,17283621,17954118,18657130,19611613,20636728,21426908,22312104,23048842,23107410,24016996,24963661,26227747,27174383,27612781,27389607,27513911,27596109,27482044,,27114855,27462976,28026037,28706620,29345909,29872249,30046723,30261007,
210,Sri Lanka,LKA,,,,,,,,,,,,,,,,,,,904417,926149,980787,1096512,1187000,1252560,1383456,1544905,1633652,1706014,1817943,1880521,1916476,1934832,
211,Sudan,SDN,,,,,,,,,,,,,,,,,,,,,,,,,,,1102962,,,,,,
212,Suriname,SUR,,,,,,,,,,,,,,,,,,,,,,,,,,185132,188126,193279,200967,199818,203657,,
213,Svalbard and Jan Mayen,SJM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Sweden,SWE,,,,3885813,3911834,3953286,3981504,4038148,4150060,4259162,4387639,4428939,4465953,4510303,4566348,4628638,4695437,4775400,4802673,4828983,4869210,4957251,5011840,5068262,5174288,5272875,5391547,5491701,5534260,5565005,5630279,5684211,
215,Switzerland,CHE,,,,3377018,3457371,3528319,3568682,3625708,3689392,3780646,3863778,3956588,4033543,4089958,4153977,4180564,4223000,4289300,4325000,4346800,4420000,4520800,4626400,4702100,4775900,4860000,4939500,5061138,5109481,5147801,5198814,5249640,
216,Syrian Arab Republic,SYR,,,,,,,,,,,,,,,,,,,,,,,,,,,1643372,1651259,,,,,
217,"Taiwan, Province of China",TWN,,1931477,2235565,2531737,2828149,3092362,3328625,3565222,3661987,3666650,3844123,3945067,4096084,4251313,4445844,4657678,4711989,4732931,4707209,4739496,4824876,6040129,6183284,6329856,6500170,6669710,6763956,6862401,6944931,7018749,7084914,7205148,
218,Tajikistan,TJK,,,,200700,,,233995,228582,228481,213507,,,,,,,,,,,,,,,,433591,435225,440054,459613,504785,,,
219,"Tanzania, United Republic of",TZA,,,,,,,,,,,,,,,,198792,261807,303031,351064,410083,469298,,,,,749825,803211,845227,897040,,,,
220,Thailand,THA,2346508,2443405,2735306,3231549,3693028,4101091,4639341,5211250,5582109,,6169334,6504014,7074096,7313042,6583362,8998660,8193646,8627390,8720077,9490008,10123683,10880982,12072253,14152972,14050087,14690658,15279084,15979081,16785069,17570901,18127628,18640373,
221,Timor-Leste,TLS,,,,,,,,,,,,,,,,,,,,,,,,,,17801,19498,21969,23974,,,,
222,Togo,TGO,,,,,,,,,,,,,,,,,,,,,,,,,,20149,18779,19782,21283,24341,,,
223,Tokelau,TKL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Tonga,TON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Trinidad and Tobago,TTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Tunisia,TUN,,,,,,,,,,,,,,,,,,,,,,,,,,1648406,1728266,1812063,,,,,
227,Turkey,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,15315224,16270109,17217824,17705282,17851180,18603245,,
228,Turkmenistan,TKM,,,,214100,,,226800,,,,,,,,,,,,534283,,,,,,,,,,,,,,
229,Turks and Caicos Islands,TCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Tuvalu,TUV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Uganda,UGA,,,,,,,,,,,,,,,,,,,,,,,,60741,108363,149382,178935,227146,,,,,
232,Ukraine,UKR,,,,4235700,4384100,4603100,4872272,5024011,5127323,,,,,,,5778388,,,6676763,6699057,7889665,8491898,,,,,,,,,,,
233,United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,3336544,,,,,,
234,United Kingdom of Great Britain and Northern Ireland,GBR,,,,24142266,24597140,24688000,25765869,26415626,27164741,27915656,28407496,29206659,29976693,30504851,31607029,32170344,31596280,32123942,32324715,32083058,32270122,32348828,,,,34529929,35287562,35756116,36182761,37813888,37697411,36929920,
235,United States of America,USA,,,,186969432,199081319,202865386,207993527,209220395,213117099,217842394,223062784,232368671,231470524,233242029,239118734,243066043,248578248,251776286,252626411,,,,245184447,243095043,249891943,252842935,257850765,261461626,265377904,267894860,267607079,,
236,United States Minor Outlying Islands,UMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Uruguay,URY,,,,,,,,,,,,,,,,,,,,,,,,,,724224,792858,837647,824051,881569,911892,,
238,Uzbekistan,UZB,,,,861000,971800,,,,,,,,,,,,,,,,,,25590,1738723,1841476,1996201,2077055,2133507,2292513,2426083,2781355,3067534,
239,Vanuatu,VUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Venezuela (Bolivarian Republic of),VEN,,,,,,,,,,,,,,,,,,,,,,,,,,,6713741,,,,,,
241,Viet Nam,VNM,,,,,,,,,,,,,,,,,,,481000,588000,655000,774500,833900,910000,1012500,1151400,1406700,1649000,1918400,2234500,,,
242,Virgin Islands (British),VGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Virgin Islands (U.S.),VIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Wallis and Futuna,WLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Western Sahara,ESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Yemen,YEM,,,,,,,,,,,,,,,,,,,,,,,,,,23762,31071,25219,,,,,
247,Zambia,ZMB,,,,,,,,,,,,,,,,,,,,,,,109802,189069,256552,310448,340795,380048,422272,460369,853909,,
248,Zimbabwe,ZWE,,,,,,,,,721254,735556,760162,794092,668904,688415,707136,733523,752062,775544,798964,859519,904679,968186,,,,,1037643,1092565,,,,,
