,Country name,Country code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
58,Cyprus,CYP,,,,295383,306868,323852,333844,343452,361048,370960,385615,400945,408789,425921,452828,476572,491944,531775,569181,588546,587093,591464,592300,587125,585519,594240,617430,637353,664821,690196,697093,712856,
59,Czechia,CZE,,,,3036310,3143307,3283105,3456691,3677668,3793232,3748391,3755445,3869419,4017935,4092385,4232154,4418295,4620235,4855247,5050787,5056710,5113619,5198906,5330037,5350568,4860518,5788058,6000877,6253164,6480562,6670879,6801020,6844940,
60,Denmark,DNK,,,,1661424,1664516,1734515,1795445,1840341,1876121,1904365,1916854,1936988,1953322,,,1943786,2084257,2133739,2163058,2148033,2191063,2224707,2263196,,,,,,,,,,
61,Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Dominica,DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,33049,,,,,,
63,Dominican Republic,DOM,,,,,,,,,,,,,,,,,,,,,,,,,,1253523,1313906,1380196,1460487,1510974,1564954,,
64,Ecuador,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,1494153,1578295,1707376,1821145,1764132,1695047,,
65,Egypt,EGY,,,,,,,,,,,,,,,,,,,,,,,,,,5787042,6173298,6628663,7040075,7343380,6776959,,
66,El Salvador,SLV,,,,,,,,,,,,,,,,,,,,,,,,,,,798866,,,,,,
67,Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,68370,,,,,,
69,Estonia,EST,,,,396311,414942,485794,514948,541985,588927,596792,552078,493377,486185,522923,562145,585095,652361,608511,639562,630947,638165,662596,694555,725334,754278,783214,816269,845746,873102,931262,949326,971418,
70,Eswatini,SWZ,,,,,,,,,,,,,,,,,,,,,,,,,,,99830,,,,,,
71,Ethiopia,ETH,,,,,,,,,,,,,,,,,,,,,306611,,,,,186681,560629,626173,682242,751582,824828,,
72,Falkland Islands (Malvinas),FLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,25864,26751,27918,29073,30305,31631,,
74,Fiji,FJI,,,,,,,,,,,,44091,48055,53020,57601,60920,63682,64089,64381,63643,65169,65709,67009,72113,78324,83255,93278,99218,101279,111590,112435,118678,
75,Finland,FIN,,,,2134364,2130454,2164937,2214394,2228463,2315903,2391403,2454479,2488597,2530089,2618038,2718788,2823068,2899506,2983408,3145128,3242895,3364659,3491555,3571144,3520977,3739057,3820046,3930315,4030332,4125180,4228080,4305976,4356719,
